w0,w1,w2,w3,a0,a1,a2,a3,b0,b1,b2,b3,direction
274.0,384.0,294.0,384.0,0,0,0,0,0,0,1,0,0
4.0,374.0,564.0,394.0,0,0,0,0,0,0,0,1,1
14.0,224.0,554.0,544.0,0,0,1,0,1,0,0,0,2
94.0,224.0,474.0,544.0,0,0,1,0,1,0,0,0,2
214.0,224.0,354.0,544.0,0,0,1,0,1,0,0,0,2
404.0,224.0,164.0,544.0,0,0,0,0,1,0,0,0,2
484.0,214.0,84.0,554.0,0,1,0,0,0,0,0,1,1
484.0,94.0,84.0,674.0,0,1,0,0,0,0,0,1,1
494.0,4.0,74.0,764.0,0,0,0,0,1,0,0,0,2
564.0,14.0,4.0,754.0,0,0,0,0,0,1,0,0,3
564.0,54.0,4.0,714.0,0,0,0,0,0,1,0,0,3
564.0,64.0,4.0,704.0,0,0,0,0,0,1,0,0,3
554.0,254.0,14.0,514.0,1,0,0,0,0,0,1,0,0
304.0,254.0,264.0,514.0,1,0,0,0,0,0,1,0,0
294.0,254.0,274.0,514.0,1,0,0,0,0,0,1,0,0
244.0,254.0,324.0,514.0,0,0,0,0,0,0,1,0,0
204.0,254.0,364.0,514.0,0,0,0,0,0,0,1,0,0
144.0,254.0,424.0,514.0,0,0,0,0,0,0,1,0,0
4.0,244.0,564.0,524.0,0,0,0,0,0,0,0,1,1
4.0,204.0,564.0,564.0,0,0,0,0,0,0,0,1,1
4.0,104.0,564.0,664.0,0,0,0,0,0,0,0,1,1
4.0,94.0,564.0,674.0,0,0,0,0,0,0,0,1,1
14.0,74.0,554.0,694.0,0,0,1,0,1,0,0,0,2
254.0,74.0,314.0,694.0,0,0,1,0,1,0,0,0,2
344.0,74.0,224.0,694.0,0,0,1,0,1,0,0,0,2
534.0,74.0,34.0,694.0,0,0,0,0,1,0,0,0,2
564.0,84.0,4.0,684.0,0,0,0,0,0,1,0,0,3
554.0,94.0,14.0,674.0,1,0,0,0,0,1,1,0,0
74.0,94.0,494.0,674.0,1,0,0,0,0,0,1,0,0
4.0,84.0,564.0,684.0,0,0,0,0,0,0,0,1,1
4.0,74.0,564.0,694.0,0,0,0,0,0,0,0,1,1
14.0,4.0,554.0,764.0,0,0,0,0,1,0,0,0,2
44.0,4.0,524.0,764.0,0,0,0,0,1,0,0,0,2
224.0,14.0,344.0,754.0,0,0,0,1,0,1,0,0,3
224.0,134.0,344.0,634.0,0,0,0,1,0,1,0,0,3
224.0,284.0,344.0,484.0,0,0,0,1,0,1,0,0,3
234.0,324.0,334.0,444.0,0,0,1,0,1,0,0,0,2
314.0,314.0,254.0,454.0,0,1,0,0,0,0,0,1,1
314.0,304.0,254.0,464.0,0,1,0,0,0,0,0,1,1
304.0,134.0,264.0,634.0,1,0,0,0,0,0,1,0,0
274.0,134.0,294.0,634.0,1,0,0,0,0,0,1,0,0
4.0,124.0,564.0,644.0,0,0,0,0,0,0,0,1,1
14.0,4.0,554.0,764.0,0,0,0,0,1,0,0,0,2
404.0,14.0,164.0,754.0,0,0,0,1,0,1,0,0,3
